super_opeid,name,type,tier,tier_name,iclevel,region,state,czname,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,,
1111,Allan Hancock College,1,9,Two-year (public and private not-for-profit),2,4,CA,Santa Barbara,0.140891567,0.189059877,0.234964327,0.256878857,0.178205372,0.061796099,0.028195341,0.00467001,0.000257449,0.193062605,0.187724002,0.23687481,0.244188679,0.138149904,0.166317808,0.266130522,0.212107827,0.177962967,0.177480876,0.159856932,0.198306668,0.236715647,0.262372641,0.142748112,0.155787519,0.177282237,0.231379294,0.209221337,0.226329613,0.170363958,0.159406938,0.192735361,0.240211059,0.237282684,,
2057,Allegany College Of Maryland,1,9,Two-year (public and private not-for-profit),2,3,MD,Cumberland,0.156573933,0.224106235,0.291691457,0.228552853,0.099075522,0.036268936,0.017396485,0.00135686,0.000151485,0.189929253,0.196717851,0.284220142,0.203657135,0.125475619,0.116932199,0.210631109,0.309512239,0.238284626,0.124639827,0.152284841,0.183418539,0.270876999,0.237136756,0.156282866,0.136468468,0.149498198,0.226082134,0.279637786,0.208313414,0.136620092,0.20101971,0.190470478,0.274914824,0.196974895,,
3230,Allegheny College,2,6,Selective private,1,1,PA,Erie,0.037381236,0.078848675,0.16654981,0.288313027,0.428907252,0.252864261,0.136716009,0.026483722,0.001901667,0.165713375,0.035468232,0.218259811,0.221168231,0.359390351,0.123532526,0.088593284,0.139670296,0.292437376,0.355766518,0.07373061,0.070574231,0.131401814,0.287768355,0.43652499,0.077498269,0.096630744,0.135174077,0.281507798,0.409189112,0.071203422,0.086992312,0.102686802,0.225669828,0.513447636,,
1901,Allen County Community College,1,9,Two-year (public and private not-for-profit),2,2,KS,Ottawa,0.106324546,0.197917928,0.282031986,0.269056107,0.144669432,0.041579458,0.0126484,0.002191362,8.04313E-05,0.156564488,0.254466834,0.307735409,0.177658341,0.103574929,0.120220566,0.218209202,0.331288285,0.222126649,0.108155298,0.117695006,0.202983995,0.279413911,0.288507619,0.111399469,0.108392494,0.172762109,0.263378224,0.28560358,0.169863593,0.08992117,0.173885294,0.230192703,0.328076303,0.177924529,,
2236,Alma College,2,6,Selective private,1,2,MI,Mount Pleasant,0.050117993,0.095352114,0.176405473,0.280188758,0.397935662,0.212857158,0.107359396,0.016617836,0.0001292,0.043015781,0.344356521,0.114031277,0.265963311,0.23263311,0.076850043,0.192872628,0.216229792,0.240624749,0.273422789,0.102237196,0.123329092,0.168839709,0.269122259,0.336471745,0.100480077,0.116001428,0.190041598,0.383183626,0.210293272,0.055410093,0.10070509,0.088987305,0.2992318,0.455665711,,
2237,Alpena Community College,1,9,Two-year (public and private not-for-profit),2,2,MI,Alpena,0.159036659,0.192367582,0.286503998,0.234861288,0.127230473,0.027908637,0.020579832,0.002238735,0.000358329,0.178513027,0.164753032,0.358559352,0.202116916,0.096057672,0.123638985,0.210231685,0.328339441,0.215363726,0.122426163,0.1327435,0.176615279,0.238287794,0.21181898,0.240534447,0.09529006,0.19286195,0.166130809,0.27753653,0.268180651,0.131781489,0.108214784,0.13907799,0.314567022,0.306358715,,
30321,Altamaha Technical College,1,9,Two-year (public and private not-for-profit),2,3,GA,Hinesville,0.370323032,0.252088554,0.220683238,0.110371397,0.046533778,0.011560021,0.009453586,0.000505221,0.0001292,0.221224842,0.376794741,0.171702646,0.168732547,0.061545224,0.200490407,0.329837696,0.185687944,0.196731185,0.087252768,0.265135161,0.394055777,0.165993394,0.11751869,0.057296978,0.185380807,0.261369408,0.233516485,0.165783927,0.153949373,0.173828328,0.099830658,0.4323757,0.172934988,0.121030326,,
3233,Alvernia University,2,6,Selective private,1,1,PA,Reading,0.066485955,0.141291021,0.216164778,0.312341268,0.263716978,0.116755067,0.043267734,0.008258023,7.37533E-05,0.094778,0.076979628,0.188098784,0.311469411,0.328674178,0.112883336,0.135654028,0.187626343,0.326735748,0.237100544,0.094780367,0.133290403,0.208021911,0.31005961,0.253847709,0.083386357,0.08090666,0.196854143,0.304826003,0.334026836,0.073177534,0.126925342,0.145850824,0.357327006,0.296719293,,
3832,Alverno College,2,6,Selective private,1,2,WI,Milwaukee,0.150332791,0.197340805,0.220815372,0.274494769,0.157016263,0.068817816,0.024885834,0.005124783,6.24329E-05,0.106040392,0.209514537,0.31997015,0.187482145,0.176992776,0.070004097,0.21922551,0.261802126,0.315942162,0.133026104,0.090444505,0.160130244,0.272802027,0.269635938,0.206987286,0.090497498,0.199029332,0.226467561,0.265895121,0.218110488,0.070048462,0.158727796,0.256982997,0.333641786,0.180598959,,
3539,Alvin Community College,1,9,Two-year (public and private not-for-profit),2,3,TX,Pearland,0.092303396,0.138395979,0.186872673,0.294121581,0.288306371,0.092276095,0.036763833,0.00274019,0.000818027,0.190895701,0.174145465,0.231218725,0.211596312,0.192143798,0.136502313,0.22526474,0.216385291,0.243198053,0.178649602,0.166059916,0.160979395,0.211729172,0.221611348,0.239620169,0.120837866,0.16722424,0.158324734,0.253757404,0.299855756,0.138049958,0.128765207,0.149971828,0.251819805,0.331393202,,
